2026-01-21 15:17:50,490 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:50,627 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:50,737 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:50,922 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:51,081 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:51,177 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:17:51,295 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:00,183 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:00,329 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:00,613 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:00,723 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:00,842 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:00,966 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:01,130 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:01,258 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:01,417 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:10,288 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:10,383 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:10,472 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:10,654 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:10,862 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:10,966 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:11,084 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:11,163 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:11,290 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:20,176 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:20,305 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:20,424 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:20,544 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:20,709 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:20,841 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:21,012 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:21,121 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:21,240 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:30,178 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:30,303 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:30,425 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:30,555 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:30,721 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:30,847 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:30,967 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:31,071 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:31,189 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:40,197 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:40,345 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:40,470 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:40,620 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:40,718 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:40,845 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:41,172 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:41,282 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:41,381 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:50,292 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:50,427 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:50,581 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:50,742 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:50,879 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:51,016 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:51,214 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:51,353 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:18:51,507 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:00,184 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:00,294 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:00,415 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:00,519 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:00,613 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:00,710 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:00,812 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:00,920 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:01,004 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:10,137 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:10,241 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:10,345 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:10,468 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:10,609 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:10,735 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:10,828 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:11,102 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:11,194 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:20,259 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:20,377 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:20,641 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:20,863 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:20,979 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:21,085 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:21,226 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:21,374 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:21,455 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:30,163 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:30,258 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:30,419 | INFO | Notification delivered to user_id=183594998
2026-01-21 15:19:30,519 | INFO | Notification delivered to user_id=183594998
